binned_latitude,binned_longitude,hour,type,subtype,count
41.93,-87.69,18:00,Jam,Heavy Traffic,162
41.84,-87.63,23:00,Hazard,Weather,161
41.98,-87.78,19:00,Jam,Stand-Still Traffic,161
41.97,-87.76,14:00,Jam,Stand-Still Traffic,161
41.85,-87.63,15:00,Hazard,Weather,161
41.83,-87.63,15:00,Hazard,Weather,161
41.97,-87.75,17:00,Jam,Heavy Traffic,160
41.87,-87.73,15:00,Hazard,Weather,160
41.98,-87.78,15:00,Jam,Heavy Traffic,160
41.83,-87.63,17:00,Hazard,Weather,160
41.87,-87.73,16:00,Hazard,Weather,159
41.9,-87.66,18:00,Jam,Stand-Still Traffic,159
41.96,-87.74,17:00,Jam,Heavy Traffic,159
41.98,-87.75,18:00,Jam,Stand-Still Traffic,158
41.79,-87.63,14:00,Hazard,Weather,158
41.83,-87.63,12:00,Hazard,Weather,158
41.96,-87.75,12:00,Jam,Heavy Traffic,158
41.97,-87.76,15:00,Jam,Heavy Traffic,158
41.84,-87.63,12:00,Hazard,Weather,158
41.9,-87.66,02:00,Jam,Heavy Traffic,157
41.9,-87.66,16:00,Hazard,Weather,156
41.87,-87.75,17:00,Hazard,Weather,156
41.97,-87.75,19:00,Jam,Stand-Still Traffic,156
41.98,-87.78,00:00,Jam,Heavy Traffic,156
41.88,-87.67,07:00,Hazard,On Road,156
41.97,-87.75,17:00,Hazard,Weather,156
41.87,-87.77,12:00,Jam,Stand-Still Traffic,156
41.97,-87.75,14:00,Hazard,Weather,156
41.98,-87.78,16:00,Jam,Heavy Traffic,155
41.8,-87.63,00:00,Hazard,Weather,155
41.88,-87.65,16:00,Jam,Stand-Still Traffic,155
41.82,-87.63,17:00,Hazard,Weather,155
41.8,-87.63,16:00,Hazard,Weather,154
41.9,-87.66,00:00,Hazard,Weather,154
41.66,-87.59,17:00,Hazard,Weather,154
41.88,-87.65,21:00,Road Closed,Unclassified,153
41.98,-87.78,15:00,Jam,Stand-Still Traffic,153
41.87,-87.72,16:00,Hazard,Weather,152
41.81,-87.63,16:00,Hazard,Weather,152
41.87,-87.73,13:00,Hazard,Weather,151
41.8,-87.63,13:00,Hazard,Weather,151
41.89,-87.65,15:00,Jam,Heavy Traffic,151
41.96,-87.75,12:00,Jam,Stand-Still Traffic,151
41.82,-87.63,16:00,Hazard,Weather,151
41.94,-87.71,14:00,Jam,Stand-Still Traffic,151
41.97,-87.77,15:00,Jam,Heavy Traffic,150
41.98,-87.75,17:00,Jam,Stand-Still Traffic,150
41.87,-87.75,14:00,Hazard,Weather,150
41.79,-87.63,13:00,Hazard,Weather,149
41.97,-87.75,14:00,Jam,Heavy Traffic,149
41.85,-87.64,15:00,Jam,Heavy Traffic,148
41.95,-87.72,16:00,Jam,Heavy Traffic,148
41.97,-87.75,15:00,Hazard,Weather,148
41.95,-87.73,14:00,Jam,Stand-Still Traffic,148
41.82,-87.63,12:00,Hazard,Weather,148
41.95,-87.73,14:00,Jam,Heavy Traffic,148
41.88,-87.65,14:00,Jam,Heavy Traffic,147
41.87,-87.71,15:00,Hazard,Weather,147
41.98,-87.75,16:00,Jam,Heavy Traffic,147
41.95,-87.73,15:00,Jam,Stand-Still Traffic,146
41.88,-87.62,21:00,Hazard,On Road,146
41.89,-87.65,01:00,Hazard,Weather,145
41.89,-87.65,16:00,Hazard,Weather,145
41.96,-87.74,16:00,Jam,Heavy Traffic,145
41.89,-87.65,02:00,Hazard,Weather,145
41.84,-87.63,00:00,Hazard,Weather,145
41.89,-87.65,13:00,Hazard,Weather,145
41.88,-87.65,01:00,Jam,Heavy Traffic,145
41.93,-87.69,15:00,Jam,Heavy Traffic,144
41.87,-87.77,11:00,Jam,Heavy Traffic,144
41.96,-87.74,13:00,Hazard,Weather,143
41.88,-87.65,22:00,Road Closed,Unclassified,143
41.88,-87.65,02:00,Hazard,Weather,142
41.97,-87.76,17:00,Jam,Stand-Still Traffic,141
41.9,-87.66,17:00,Jam,Stand-Still Traffic,141
41.97,-87.75,14:00,Jam,Stand-Still Traffic,140
41.9,-87.66,00:00,Jam,Stand-Still Traffic,140
41.97,-87.75,16:00,Hazard,Weather,140
41.97,-87.77,16:00,Jam,Heavy Traffic,140
41.79,-87.63,16:00,Hazard,Weather,139
41.98,-87.75,16:00,Jam,Stand-Still Traffic,138
41.97,-87.75,12:00,Hazard,Weather,138
41.79,-87.63,12:00,Hazard,Weather,137
41.89,-87.65,02:00,Jam,Heavy Traffic,137
41.9,-87.66,16:00,Jam,Stand-Still Traffic,137
41.81,-87.63,12:00,Hazard,Weather,137
41.92,-87.67,14:00,Jam,Heavy Traffic,135
41.88,-87.67,06:00,Hazard,On Road,135
41.98,-87.78,17:00,Jam,Stand-Still Traffic,135
41.97,-87.75,00:00,Hazard,Weather,135
41.89,-87.65,03:00,Jam,Heavy Traffic,134
41.89,-87.65,14:00,Jam,Heavy Traffic,134
41.87,-87.76,11:00,Jam,Heavy Traffic,134
41.93,-87.69,14:00,Jam,Heavy Traffic,134
41.82,-87.63,00:00,Hazard,Weather,133
41.95,-87.72,14:00,Jam,Heavy Traffic,133
41.97,-87.76,00:00,Jam,Heavy Traffic,132
